Total_DL_Values,CDF,Frequencies
0,0.22232197786258395,0.22232197786258395
728962,0.41981813907659066,0.1974961612140067
832117,0.5952719160918908,0.17545377701530013
935272,0.7514692421961358,0.15619732610424492
6636305,0.8277422936683789,0.0762730514722432
7262112,0.8446179470122491,0.016875653343870197
7365267,0.8676006462164826,0.022982699204233417
7468422,0.8954149640129444,0.027814317796461815
7571577,0.9184701875128168,0.023055223499872456
19922669,0.9244546923219279,0.005984504809111052
20548476,0.9338128272971445,0.009358134975216698
20651631,0.950715989856602,0.016903162559457417
20754786,0.9785203043019411,0.02780431444533919
20857941,0.9877058814702926,0.009185577168351397
26558974,0.9883460959421406,0.0006402144718480691
27184781,0.990221724277633,0.00187562833549239
27287936,0.9937203963327714,0.0034986720551384715
27391091,0.9999749916221934,0.006254595289421956
27494246,1.0,2.50083778065652e-05
