Total_DL_Values,CDF,Frequencies
0,0.23533353000295004,0.23533353000295004
625807,0.4568768531527973,0.22154332314984726
728962,0.5009550143252148,0.044078161172417585
832117,0.7095956439346589,0.20864062960944413
935272,0.9061185917788765,0.19652294784421767
6636305,0.9195112926693899,0.013392700890513358
6739460,0.9364990474857121,0.016987754816322243
6842615,0.9495342430136451,0.013035195527932919
6945770,0.9661094916423745,0.01657524862872943
7262112,0.9755621334320013,0.009452641789626844
7365267,0.9803672055080824,0.004805072076081141
7468422,0.9895223428351423,0.009155137327059906
7571577,0.9945824187362808,0.005060075901138517
19922669,0.9947724215863236,0.00019000285004275064
20548476,0.9953299299489491,0.0005575083626254394
20651631,0.9958199372990594,0.0004900073501102516
20754786,0.9963549453241798,0.0005350080251203768
20857941,0.9981224718370775,0.0017675265128976935
26558974,0.9985024775371629,0.0003800057000855013
27184781,0.999124986874803,0.0006225093376400646
27287936,0.9999699995499931,0.0008450126751901279
27391091,0.9999749996249943,5.000075001125017e-06
27494246,0.9999999999999999,2.5000375005625085e-05
