Total_DL_Values,CDF,Frequencies
0,0.23539706191185736,0.23539706191185736
728962,0.4566762002860086,0.22127913837415122
832117,0.6646649399481984,0.20798873966218986
935272,0.8602858085742572,0.1956208686260588
6636305,0.9045996379891397,0.04431382941488245
7262112,0.9217926537796134,0.017193015790473713
7365267,0.9311529345880376,0.009360280808424253
7468422,0.9317229516885506,0.0005700171005130154
7571577,0.9327479824394731,0.0010250307509225276
19922669,0.9462408872266167,0.013492904787143614
20548476,0.9633764012920387,0.017135514065421964
20651631,0.9769418082542476,0.013565406962208867
20754786,0.9818019540586217,0.004860145804374131
20857941,0.9912397371921157,0.009437783133494004
26558974,0.9914447433423001,0.00020500615018450555
27184781,0.9963373901217035,0.004892646779403382
27287936,0.9980449413482403,0.0017075512265367961
27391091,0.9999749992499773,0.0019300579017370522
27494246,0.9999999999999999,2.5000750022500674e-05
