Total_DL_Values,CDF,Frequencies
0,0.016842379474539804,0.016842379474539804
728962,0.04445797044818664,0.027615590973646836
832117,0.07898184259238386,0.03452387214419722
935272,0.11759858327634878,0.03861674068396492
6636305,0.3180664828132084,0.20046789953685962
7262112,0.47907351883996985,0.16100703602676145
7365267,0.6077483962918712,0.1286748774519013
7468422,0.7255248214692747,0.11777642517740355
7571577,0.8282648391532721,0.10274001768399749
19922669,0.8555397752178563,0.027274936064584164
20548476,0.8901688496133817,0.0346290743955254
20651631,0.9290010044310186,0.03883215481763691
20754786,0.9391229638980941,0.010121959467075453
20857941,0.9555720873379072,0.01644912343981304
26558974,0.9613056100352929,0.005733522697385724
27184781,0.9796383547369819,0.018332744701688997
27287936,0.9978132960616787,0.018174941324696728
27391091,0.9999749518449219,0.002161655783243285
27494246,1.0,2.504815507813772e-05
