Total_DL_Values,CDF,Frequencies
0,0.20070751585271443,0.20070751585271443
728962,0.36181518904252363,0.16110767318980918
832117,0.49082659598189127,0.1290114069393676
935272,0.526633311870683,0.03580671588879174
6636305,0.6303881065182153,0.10375479464753234
7262112,0.6687628243511724,0.03837471783295711
7365267,0.7865075925169676,0.11774476816579521
7468422,0.8045387242166341,0.018031131699666535
7571577,0.8338164517478698,0.029277727531235673
19922669,0.8504019862555525,0.01658553450768271
20025824,0.877991095923015,0.027589109667462537
20128979,0.912562665510857,0.03457156958784195
20548476,0.9474198470222451,0.03485718151138815
20651631,0.9645490463317657,0.017129199309520646
20754786,0.9706045201844952,0.0060554738527294726
20857941,0.9803353685270692,0.009730848342573964
26558974,0.9969309245057535,0.016595555978684333
26662129,0.999468862036914,0.0025379375311605115
27184781,0.9998070866832187,0.0003382246463047078
27287936,0.9999423765417406,0.00013528985852188314
27391091,0.9999749463224958,3.256978075526816e-05
27494246,0.9999999999999999,2.505367750405243e-05
