Total_DL_Values,CDF,Frequencies
0,0.22200937793060332,0.22200937793060332
625807,0.238847139731166,0.016837761800562675
728962,0.24070021881838075,0.0018530790872147546
832117,0.24258330728352612,0.001883088465145358
935272,0.2517961863082213,0.009212879024695217
6636305,0.2683538605814317,0.01655767427321038
6739460,0.291043451078462,0.022689590497030322
6842615,0.29712785245389184,0.0060844013754298215
6945770,0.4946445764301344,0.19751672397624256
7262112,0.6702619568615191,0.1756173804313848
7365267,0.8265107846201937,0.15624882775867457
7468422,0.8538993435448576,0.027388558924663957
7571577,0.8768640200062519,0.022964676461394187
19922669,0.9045326664582681,0.027668646452016256
20548476,0.9822169427946232,0.07768427633635511
20651631,0.9915548608940293,0.009337918099406064
20754786,0.9928302594560799,0.001275398562050641
20857941,0.9945432947796186,0.0017130353235386058
26558974,0.9974667083463582,0.0029234135667396063
27184781,0.9993047827446077,0.001838074398249453
27287936,0.9999374804626445,0.0006326977180368866
27391091,0.9999749921850578,3.751172241325414e-05
27494246,1.0,2.5007814942169428e-05
