Total_DL_Values,CDF,Frequencies
0,0.2010245490981964,0.2010245490981964
625807,0.361563126252505,0.1605385771543086
728962,0.4895891783567134,0.12802605210420842
832117,0.5923271543086172,0.1027379759519038
935272,0.7098722444889779,0.11754509018036072
6636305,0.7448747494989979,0.03500250501002004
6739460,0.7838677354709418,0.03899298597194389
6842615,0.8004133266533066,0.01654559118236473
6945770,0.8283491983967936,0.027935871743486974
7262112,0.8636072144288577,0.035258016032064125
7365267,0.9024799599198396,0.038872745490981964
7468422,0.9190606212424849,0.01658066132264529
7571577,0.947006513026052,0.027945891783567135
19922669,0.9554834669338677,0.00847695390781563
20548476,0.9587224448897794,0.0032389779559118237
20651631,0.9635596192384768,0.004837174348697394
20754786,0.9687525050100199,0.005192885771543086
20857941,0.9741457915831662,0.005393286573146292
26558974,0.979762024048096,0.00561623246492986
27184781,0.9819038076152302,0.0021417835671342683
27287936,0.9997545090180359,0.017850701402805612
27391091,0.9999749498997994,0.00022044088176352705
27494246,0.9999999999999998,2.50501002004008e-05
