Total_DL_Values,CDF,Frequencies
0,0.009280446541777013,0.009280446541777013
728962,0.026495912452203573,0.01721546591042656
832117,0.04943569583342711,0.022939783381223537
935272,0.07619419165585073,0.02675849582242362
6636305,0.29876985943036916,0.2225756677745184
7262112,0.49685024995436056,0.19808039052399137
7365267,0.6728486294398472,0.17599837948548663
7468422,0.8295458808171595,0.1566972513773123
7571577,0.9057025605629788,0.0761566797458193
19922669,0.9224428756130072,0.016740315050028383
20025824,0.9452226081780966,0.022779732565089417
20128979,0.9726888287031132,0.027466220525016693
20548476,0.9818142260167603,0.009125397313647083
20651631,0.9876485784236495,0.005834352406889187
20754786,0.9937805253167881,0.006131946893138572
20857941,0.9945482690754315,0.0007677437586433692
26558974,0.9964588756930326,0.0019106066176010883
26662129,0.9998524531538764,0.003393577460843818
27184781,0.9999249761799371,7.252302606077429e-05
27287936,0.9999674896779728,4.2513498035626314e-05
27391091,0.9999749920599791,7.5023820062869965e-06
27494246,1.0,2.5007940020956653e-05
